,place,2001,2005,2008,2010,2011,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,County/State_name,sample_frequency,timestamps,name,units,url,domain,aug_id,original_id,country_code,country_name
102,wikidataId/Q1772825,,,,,301249.0,,,,,,,,,,,,Hisar,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1772825,wikidataId/Q1772825,IND,India
103,wikidataId/Q1774606,,,,,126158.0,,,,,,,,,,,,Motihari,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1774606,wikidataId/Q1774606,IND,India
104,wikidataId/Q1780338,,,,,229644.0,,,,,,,,,,,,Ramagundam,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1780338,wikidataId/Q1780338,IND,India
105,wikidataId/Q1798750,,,,,218486.0,,,,,,,,,,,,Anand,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1798750,wikidataId/Q1798750,IND,India
106,wikidataId/Q1801463,,,,,377347.0,,,,,,,,,,,,Panihati,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1801463,wikidataId/Q1801463,IND,India
107,wikidataId/Q1807929,,,,,216628.0,,,,,,,,,,,,Yamuna Nagar,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1807929,wikidataId/Q1807929,IND,India
108,wikidataId/Q1807947,,,,,448317.0,,,,,,,,,,,,Maheshtala,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1807947,wikidataId/Q1807947,IND,India
109,wikidataId/Q1815367,,,,,181842.0,,,,,,,,,,,,Serampore,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1815367,wikidataId/Q1815367,IND,India
110,wikidataId/Q1816866,34923.0,,,,,,,,,,,,,,,,Rajpipla,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1816866,wikidataId/Q1816866,IND,India
111,wikidataId/Q18386200,,,,,83760.0,,,,,,,,,,,,Sullurpeta mandal,10.0,{2001:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q18386200,wikidataId/Q18386200,IND,India
