,place,1996,2001,2006,2009,2011,2012,2013,2014,2016,2016,2018,2019,2020,2021,County/State_name,sample_frequency,timestamps,name,units,url,domain,aug_id,original_id,country_code,country_name
100,wikidataId/Q139019,,,,,9485.0,,,,,,,,,,Bois-des-Filion,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q139019,wikidataId/Q139019,CAN,Canada
101,wikidataId/Q139027,,,,,,,,,3752.0,,,,,,Beaupré,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q139027,wikidataId/Q139027,CAN,Canada
102,wikidataId/Q139046,,,,,4091.0,,,,,,,,,,Berthierville,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q139046,wikidataId/Q139046,CAN,Canada
103,wikidataId/Q139088,,,,,,,,,20276.0,,,,,,Mount Royal,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q139088,wikidataId/Q139088,CAN,Canada
104,wikidataId/Q139094,,,,,298.0,,,,,,,,,,Belleterre,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q139094,wikidataId/Q139094,CAN,Canada
105,wikidataId/Q139101,,,,,7153.0,,,,,,,,,,Hampstead,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q139101,wikidataId/Q139101,CAN,Canada
106,wikidataId/Q139104,,,,,,,,,85721.0,,,,,,Brossard,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q139104,wikidataId/Q139104,CAN,Canada
107,wikidataId/Q139109,,,,,12011.0,,,,,,,,,,Beauharnois,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q139109,wikidataId/Q139109,CAN,Canada
108,wikidataId/Q1391099,,,,,,,,,5039.0,,,,,,Almonte,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q1391099,wikidataId/Q1391099,CAN,Canada
109,wikidataId/Q139190,,,,,,,,,111575.0,,,,,,Terrebonne,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q139190,wikidataId/Q139190,CAN,Canada
110,wikidataId/Q139229,,,,,144746.0,,,,,,,,,,Saguenay,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,wikidataId/Q139229,wikidataId/Q139229,CAN,Canada
